NGI ID	User ID	Mreads	≥Q30
P25152_101	H1	33.91	90.26
P25152_102	H2	25.52	90.02
P25152_103	H3	18.55	88.93
P25152_104	H4	27.96	89.17
P25152_105	H6	20.90	89.59
P25152_106	H7	29.02	89.99
P25152_107	H8	32.54	90.11
P25152_108	H9	45.56	89.84
P25152_109	H10	37.46	90.20
P25152_110	H11	21.13	89.46
P25152_111	H12	30.49	89.14
P25152_112	H13	25.68	89.77
P25152_113	H15	32.14	89.90
P25152_114	H16	31.60	90.04
P25152_115	H18	28.86	91.20
P25152_116	H19	36.57	91.48
P25152_117	H20	27.13	90.64
P25152_118	H21	30.89	90.88
P25152_119	H23	32.66	90.12
P25152_120	H24	28.18	90.15
P25152_121	H25	36.31	91.28
P25152_122	H26	25.93	89.91
P25152_123	H27	42.16	89.86
P25152_124	H28	28.97	89.94
P25152_125	R3	34.85	89.83
P25152_126	R4	28.86	89.04
P25152_127	R5	33.54	89.67
P25152_128	R6	30.56	89.74
P25152_129	R7	43.33	88.80
P25152_130	R9	32.50	89.47
P25152_131	R10	40.82	90.14
P25152_132	R11	28.38	89.60
P25152_133	R12	32.07	89.25
P25152_134	R13	37.87	88.97
P25152_135	R17	41.56	89.69
P25152_136	R18	37.41	89.71
P25152_137	R19	36.60	91.28
P25152_138	R20	31.71	89.96
P25152_139	R21	44.05	89.28
P25152_140	R22	44.25	90.03
P25152_141	R23	40.49	90.27
P25152_142	R24	35.79	91.55
P25152_143	R25	37.12	89.61
P25152_144	R26	34.62	89.59
P25152_145	R27	32.64	89.99
P25152_146	R28	24.30	89.85
P25152_147	R29	30.12	89.35
P25152_148	R31	26.44	89.83
P25152_149	S1	17.94	89.66
P25152_150	S2	23.56	89.08
P25152_151	S3	27.17	89.51
P25152_152	S4	30.67	89.76
P25152_153	S5	30.06	89.84
P25152_154	S6	23.74	89.97
P25152_155	S7	20.05	89.50
P25152_156	S8	41.14	90.00
P25152_157	S9	25.16	88.96
P25152_158	S10	29.57	89.76
P25152_159	S11	51.12	89.69
P25152_160	S12	33.16	89.57
P25152_161	S13	38.19	90.14
P25152_162	S14	42.58	89.49
P25152_163	S15	37.41	90.13
P25152_164	S16	23.92	89.57
P25152_165	S17	28.22	89.86
P25152_166	S19	15.48	90.01
P25152_167	S20	31.98	91.26
P25152_168	S21	15.96	89.79
P25152_169	S22	17.96	89.62
P25152_170	S23	27.14	90.59
P25152_171	S24	43.66	91.18
P25152_172	V1	23.51	89.70
P25152_173	V2	10.42	90.08
P25152_174	V3	17.50	88.92
P25152_175	V4	12.32	89.58
P25152_176	V5	13.08	89.98
P25152_177	V6	22.95	89.37
P25152_178	V7	14.95	89.87
P25152_179	V8	27.66	89.49
P25152_180	V9	16.32	89.01
P25152_181	V10	25.40	89.24
P25152_182	V13	23.03	89.04
P25152_183	V14	25.42	89.73
P25152_184	V15	26.28	89.40
P25152_185	V17	20.69	89.08
P25152_186	V18	19.75	88.99
P25152_187	V19	21.13	89.78
P25152_188	V20	31.94	89.61
P25152_189	V21	21.82	89.49
P25152_190	V22	30.98	89.19
P25152_191	V23	27.56	90.80
P25152_192	V24	27.17	89.57
P25152_193	V25	19.97	86.55
P25152_194	V26	18.38	89.79
